Year_x,Player,Tm,Pos,Age,G,GS,MP,PER,AST,TOV,STL,BLK,TRB,PTS,FG%,PPG,MPG,PACE,height_x,weight_x,HeightxWeight,year_start,year_end,career
1997,Mahmoud Abdul-Rauf,SAC,PG,27.0,75.0,51.0,2131.0,13.2,189.0,119.0,56.0,6.0,122.0,1031.0,0.445,13.746666666666664,28.41333333333333,92.53,188.0,83.0,15604.0,1991,2001,7
1998,Mahmoud Abdul-Rauf,SAC,PG,28.0,31.0,0.0,530.0,10.5,58.0,19.0,16.0,1.0,37.0,227.0,0.377,7.32258064516129,17.096774193548384,93.79,188.0,83.0,15604.0,1991,2001,8
2001,Mahmoud Abdul-Rauf,VAN,PG,31.0,41.0,0.0,486.0,16.7,76.0,26.0,9.0,1.0,25.0,266.0,0.488,6.487804878048781,11.853658536585364,93.05,188.0,83.0,15604.0,1991,2001,11
1997,Duane Causwell,SAC,C,28.0,46.0,8.0,581.0,8.9,20.0,34.0,15.0,38.0,127.0,118.0,0.511,2.565217391304348,12.630434782608695,92.53,213.0,108.0,23004.0,1991,2001,7
1998,Duane Causwell,MIA,C,29.0,37.0,2.0,363.0,9.2,5.0,18.0,7.0,27.0,99.0,89.0,0.416,2.4054054054054053,9.81081081081081,89.37,213.0,108.0,23004.0,1991,2001,8
2000,Duane Causwell,MIA,C,31.0,25.0,2.0,185.0,14.1,2.0,10.0,2.0,16.0,47.0,66.0,0.541,2.64,7.4,91.24,213.0,108.0,23004.0,1991,2001,10
2001,Duane Causwell,MIA,C,32.0,31.0,14.0,384.0,4.8,5.0,23.0,8.0,18.0,83.0,76.0,0.376,2.4516129032258065,12.387096774193546,88.42,213.0,108.0,23004.0,1991,2001,11
1997,Tyus Edney,SAC,PG,23.0,70.0,20.0,1376.0,12.7,226.0,112.0,60.0,2.0,113.0,485.0,0.384,6.928571428571429,19.65714285714286,92.53,178.0,68.0,12104.0,1996,2001,2
2001,Tyus Edney,IND,PG,27.0,24.0,0.0,263.0,16.6,54.0,25.0,17.0,0.0,24.0,106.0,0.385,4.416666666666667,10.958333333333336,90.94,178.0,68.0,12104.0,1996,2001,6
1998,Tyus Edney,BOS,PG,24.0,52.0,7.0,623.0,17.8,139.0,66.0,51.0,1.0,55.0,277.0,0.431,5.3269230769230775,11.980769230769232,94.92,178.0,68.0,12104.0,1996,2001,3
1997,Brian Grant,SAC,PF,24.0,24.0,15.0,607.0,14.5,28.0,44.0,19.0,25.0,142.0,252.0,0.44,10.5,25.29166666666667,92.53,206.0,115.0,23690.0,1995,2006,3
1998,Brian Grant,POR,SF,25.0,61.0,49.0,1921.0,16.7,86.0,110.0,44.0,45.0,555.0,737.0,0.508,12.081967213114755,31.491803278688533,91.49,206.0,115.0,23690.0,1995,2006,4
1999,Brian Grant,POR,PF,26.0,48.0,46.0,1525.0,17.0,67.0,96.0,21.0,34.0,470.0,550.0,0.479,11.458333333333336,31.77083333333333,90.85,206.0,115.0,23690.0,1995,2006,5
2000,Brian Grant,POR,PF,27.0,63.0,14.0,1322.0,14.0,64.0,84.0,32.0,28.0,344.0,459.0,0.491,7.2857142857142865,20.984126984126984,91.05,206.0,115.0,23690.0,1995,2006,6
2001,Brian Grant,MIA,C,28.0,82.0,79.0,2771.0,17.5,101.0,170.0,60.0,71.0,718.0,1250.0,0.479,15.24390243902439,33.792682926829265,88.42,206.0,115.0,23690.0,1995,2006,7
2002,Brian Grant,MIA,PF,29.0,72.0,72.0,2256.0,12.7,137.0,122.0,48.0,31.0,575.0,673.0,0.469,9.347222222222221,31.33333333333333,88.5,206.0,115.0,23690.0,1995,2006,8
2003,Brian Grant,MIA,C,30.0,82.0,82.0,2641.0,15.6,104.0,129.0,63.0,47.0,837.0,846.0,0.509,10.317073170731707,32.20731707317073,88.95,206.0,115.0,23690.0,1995,2006,9
2004,Brian Grant,MIA,C,31.0,76.0,76.0,2303.0,12.1,69.0,82.0,51.0,35.0,524.0,664.0,0.471,8.736842105263158,30.302631578947373,89.31,206.0,115.0,23690.0,1995,2006,10
2005,Brian Grant,LAL,C,32.0,69.0,8.0,1136.0,10.0,34.0,43.0,23.0,23.0,257.0,263.0,0.493,3.811594202898551,16.463768115942027,92.35,206.0,115.0,23690.0,1995,2006,11
2006,Brian Grant,PHO,C,33.0,21.0,2.0,248.0,6.6,7.0,7.0,5.0,3.0,57.0,61.0,0.415,2.9047619047619047,11.809523809523812,96.94,206.0,115.0,23690.0,1995,2006,12
1997,Jeff Grayer,SAC,SG,31.0,25.0,0.0,316.0,10.0,25.0,15.0,8.0,7.0,38.0,91.0,0.458,3.64,12.64,92.53,196.0,90.0,17640.0,1989,1998,9
1997,Bobby Hurley,SAC,PG,25.0,49.0,12.0,632.0,10.4,146.0,55.0,27.0,3.0,38.0,143.0,0.368,2.9183673469387754,12.89795918367347,92.53,183.0,74.0,13542.0,1994,1998,4
1998,Bobby Hurley,SAC,PG,26.0,34.0,3.0,417.0,10.2,80.0,42.0,13.0,0.0,36.0,128.0,0.409,3.7647058823529416,12.264705882352944,93.79,183.0,74.0,13542.0,1994,1998,5
1998,Bobby Hurley,VAN,PG,26.0,27.0,0.0,458.0,7.9,97.0,44.0,10.0,0.0,30.0,122.0,0.374,4.518518518518519,16.962962962962962,93.63,183.0,74.0,13542.0,1994,1998,5
1997,Billy Owens,SAC,SF,27.0,66.0,56.0,1995.0,13.6,187.0,133.0,62.0,25.0,392.0,724.0,0.467,10.969696969696967,30.22727272727273,92.53,203.0,99.0,20097.0,1992,2001,6
